House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status,,,
1623,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FSF8,F 49 NORRIS CIR,1623 59TH AV E,,,,
1628,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FXL7,F 48 NORRIS CIR,1628 59TH AV E,,,,
1629,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FXYV,F 48 NORRIS CIR,1629 59TH AV E,,,,
1636,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FVY1,F 48 NORRIS CIR,1636 59TH AV E,,,,
1637,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FRGV,F 48 NORRIS CIR,1637 59TH AV E,,,,
1644,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FUXG,F 46 NORRIS CIR,1644 59TH AV E,,,,
1645,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FSQ4,F 46 NORRIS CIR,1645 59TH AV E,,,,
1652,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FVAW,F 46 NORRIS CIR,1652 59TH AV E,,,,
1653,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FXN8,F 46 NORRIS CIR,1653 59TH AV E,,,,
1709,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FTQ0,F 3 NORRIS CIR EST,1709 59TH AV E,Y,,,
1717,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FTVF,F 3 1-2 NORRIS CIR EST,1717 59TH AV E,,,,
1718,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FRH6,F 3 1-2 NORRIS CIR EST,1718 59TH AV E,,,,
1724,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FXBD,F 3 1-2 NORRIS CIR EST,1724 59TH AV E,,,,
1809,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FXJY,F 3 1-2 NORRIS CIR EST,1809 59TH AV E,,,,
1812,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FRTS,F 3 1-2 NORRIS CIR EST,1812 59TH AV E,,,,
1817,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FWOZ,F 10 NORRIS CIR EST,1817 59TH AV E,,,,
1818,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FX2N,F 14 NORRIS CIRCLE EST,1818 59TH AV E,,,,
1822,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FX4C,F 14 NORRIS CIRCLE EST,1822 59TH AV E,,,,
1505,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FY1P,F 24 NORRIS CIR,1505 60TH AV E,,,,
1511,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FV2N,F 22 NORRIS CIR,1511 60TH AV E,,,,
1517,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FWEG,F 22 NORRIS CIR,1517 60TH AV E,,,,
1522,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FUTA,F 20 NORRIS CIR,1522 60TH AV E,,,,
1523,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FUV7,F 20 NORRIS CIR,1523 60TH AV E,,,,
1528,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FUWI,F 20 NORRIS CIR,1528 60TH AV E,,,,
1529,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FVIY,F 20 NORRIS CIR,1529 60TH AV E,,,,
1607,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FTYM,F 15 NORRIS CIR,1607 60TH AV E,,,,
1608,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FSCZ,F 18 NORRIS CIR,1608 60TH AV E,,,,
1614,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FS5K,F 18 NORRIS CIR,1614 60TH AV E,,,,
1621,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FUC6,F 15 NORRIS CIR,1621 60TH AV E,Y,,,
1626,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FVA6,F 15 NORRIS CIR,1626 60TH AV E,,,,
1627,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FXQU,F 10 NORRIS CIR,1627 60TH AV E,,,,
1634,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FW6D,F 15 NORRIS CIR,1634 60TH AV E,,,,
1635,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FRMN,F 15 NORRIS CIR,1635 60TH AV E,,,,
1642,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FXCG,F 13 NORRIS CIR,1642 60TH AV E,,,,
1643,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FRGY,F 13 NORRIS CIR,1643 60TH AV E,,,,
1650,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FXYU,F 13 NORRIS CIR,1650 60TH AV E,,,,
1651,60TH AV E,COTTONDALE,35453,,,,,,,210402,000010FX2L,F 13 NORRIS CIR,1651 60TH AV E,,,,
1805,61ST AV E,COTTONDALE,35453,,,,,,,210402,000010FSRE,P 19N4W2S1 HIGHWAY 11 N,1805 61ST AV E,,,,
1806,61ST AV E,COTTONDALE,35453,,,,,,,210402,000010FS51,P 19N4W2S1 HIGHWAY 11 N,1806 61ST AV E,,,,
1807,61ST AV E,COTTONDALE,35453,,,,,,,210402,000010FT5D,P 19N4W2S1 HIGHWAY 11 N,1807 61ST AV E,,,,
1818,61ST AV E,COTTONDALE,35453,,,,,,,210402,000010FXJW,P 19N4W2S1 HIGHWAY 11 N,1818 61ST AV E,,,,
